ticker,prediction_date,outcome_date,miscovered,architecture,predicted_miscoverage,squared_error
AMZN,2021-04-28,2021-04-29,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-04-29,2021-04-30,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-04-30,2021-05-03,1,constant,0.10671606118546845,0.7979561953440036
AMZN,2021-05-03,2021-05-04,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-05-04,2021-05-05,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-05-05,2021-05-06,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-05-06,2021-05-07,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-05-07,2021-05-10,1,constant,0.10671606118546845,0.7979561953440036
AMZN,2021-05-10,2021-05-11,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-05-11,2021-05-12,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-05-12,2021-05-13,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-05-13,2021-05-14,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-05-14,2021-05-17,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-05-17,2021-05-18,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-05-18,2021-05-19,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-05-19,2021-05-20,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-05-20,2021-05-21,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-05-21,2021-05-24,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-05-24,2021-05-25,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-05-25,2021-05-26,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-05-26,2021-05-27,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-05-27,2021-05-28,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-05-28,2021-06-01,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-06-01,2021-06-02,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-06-02,2021-06-03,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-06-03,2021-06-04,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-06-04,2021-06-07,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-06-07,2021-06-08,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-06-08,2021-06-09,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-06-09,2021-06-10,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-06-10,2021-06-11,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-06-11,2021-06-14,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-06-14,2021-06-15,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-06-15,2021-06-16,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-06-16,2021-06-17,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-06-17,2021-06-18,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-06-18,2021-06-21,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-06-21,2021-06-22,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-06-22,2021-06-23,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-06-23,2021-06-24,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-06-24,2021-06-25,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-06-25,2021-06-28,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-06-28,2021-06-29,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-06-29,2021-06-30,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-06-30,2021-07-01,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-07-01,2021-07-02,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-07-02,2021-07-06,1,constant,0.10671606118546845,0.7979561953440036
AMZN,2021-07-06,2021-07-07,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-07-07,2021-07-08,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-07-08,2021-07-09,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-07-09,2021-07-12,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-07-12,2021-07-13,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-07-13,2021-07-14,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-07-14,2021-07-15,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-07-15,2021-07-16,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-07-16,2021-07-19,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-07-19,2021-07-20,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-07-20,2021-07-21,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-07-21,2021-07-22,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-07-22,2021-07-23,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-07-23,2021-07-26,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-07-26,2021-07-27,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-07-27,2021-07-28,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-07-28,2021-07-29,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-07-29,2021-07-30,1,constant,0.10671606118546845,0.7979561953440036
AMZN,2021-07-30,2021-08-02,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-08-02,2021-08-03,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-08-03,2021-08-04,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-08-04,2021-08-05,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-08-05,2021-08-06,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-08-06,2021-08-09,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-08-09,2021-08-10,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-08-10,2021-08-11,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-08-11,2021-08-12,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-08-12,2021-08-13,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-08-13,2021-08-16,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-08-16,2021-08-17,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-08-17,2021-08-18,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-08-18,2021-08-19,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-08-19,2021-08-20,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-08-20,2021-08-23,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-08-23,2021-08-24,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-08-24,2021-08-25,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-08-25,2021-08-26,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-08-26,2021-08-27,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-08-27,2021-08-30,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-08-30,2021-08-31,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-08-31,2021-09-01,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-09-01,2021-09-02,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-09-02,2021-09-03,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-09-03,2021-09-07,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-09-07,2021-09-08,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-09-08,2021-09-09,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-09-09,2021-09-10,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-09-10,2021-09-13,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-09-13,2021-09-14,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-09-14,2021-09-15,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-09-15,2021-09-16,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-09-16,2021-09-17,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-09-17,2021-09-20,1,constant,0.10671606118546845,0.7979561953440036
AMZN,2021-09-20,2021-09-21,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-09-21,2021-09-22,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-09-22,2021-09-23,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-09-23,2021-09-24,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-09-24,2021-09-27,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-09-27,2021-09-28,1,constant,0.10671606118546845,0.7979561953440036
AMZN,2021-09-28,2021-09-29,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-09-29,2021-09-30,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-09-30,2021-10-01,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-10-01,2021-10-04,1,constant,0.10671606118546845,0.7979561953440036
AMZN,2021-10-04,2021-10-05,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-10-05,2021-10-06,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-10-06,2021-10-07,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-10-07,2021-10-08,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-10-08,2021-10-11,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-10-11,2021-10-12,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-10-12,2021-10-13,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-10-13,2021-10-14,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-10-14,2021-10-15,1,constant,0.10671606118546845,0.7979561953440036
AMZN,2021-10-15,2021-10-18,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-10-18,2021-10-19,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-10-19,2021-10-20,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-10-20,2021-10-21,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-10-21,2021-10-22,1,constant,0.10671606118546845,0.7979561953440036
AMZN,2021-10-22,2021-10-25,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-10-25,2021-10-26,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-10-26,2021-10-27,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-10-27,2021-10-28,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-10-28,2021-10-29,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-10-29,2021-11-01,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-11-01,2021-11-02,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-11-02,2021-11-03,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-11-03,2021-11-04,1,constant,0.10671606118546845,0.7979561953440036
AMZN,2021-11-04,2021-11-05,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-11-05,2021-11-08,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-11-08,2021-11-09,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-11-09,2021-11-10,1,constant,0.10671606118546845,0.7979561953440036
AMZN,2021-11-10,2021-11-11,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-11-11,2021-11-12,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-11-12,2021-11-15,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-11-15,2021-11-16,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-11-16,2021-11-17,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-11-17,2021-11-18,1,constant,0.10671606118546845,0.7979561953440036
AMZN,2021-11-18,2021-11-19,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-11-19,2021-11-22,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-11-22,2021-11-23,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-11-23,2021-11-24,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-11-24,2021-11-26,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-11-26,2021-11-29,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-11-29,2021-11-30,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-11-30,2021-12-01,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-12-01,2021-12-02,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-12-02,2021-12-03,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-12-03,2021-12-06,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-12-06,2021-12-07,1,constant,0.10671606118546845,0.7979561953440036
AMZN,2021-12-07,2021-12-08,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-12-08,2021-12-09,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-12-09,2021-12-10,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-12-10,2021-12-13,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-12-13,2021-12-14,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-12-14,2021-12-15,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-12-15,2021-12-16,1,constant,0.10671606118546845,0.7979561953440036
AMZN,2021-12-16,2021-12-17,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-12-17,2021-12-20,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-12-20,2021-12-21,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-12-21,2021-12-22,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-12-22,2021-12-23,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-12-23,2021-12-27,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-12-27,2021-12-28,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-12-28,2021-12-29,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-12-29,2021-12-30,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-12-30,2021-12-31,0,constant,0.10671606118546845,0.011388317714940645
AMZN,2021-12-31,2022-01-03,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-01-04,2021-01-05,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-01-05,2021-01-06,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-01-06,2021-01-07,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-01-07,2021-01-08,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-01-08,2021-01-11,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-01-11,2021-01-12,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-01-12,2021-01-13,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-01-13,2021-01-14,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-01-14,2021-01-15,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-01-15,2021-01-19,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-01-19,2021-01-20,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-01-20,2021-01-21,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-01-21,2021-01-22,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-01-22,2021-01-25,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-01-25,2021-01-26,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-01-26,2021-01-27,1,constant,0.10671606118546845,0.7979561953440036
BA,2021-01-27,2021-01-28,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-01-28,2021-01-29,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-01-29,2021-02-01,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-02-01,2021-02-02,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-02-02,2021-02-03,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-02-03,2021-02-04,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-02-04,2021-02-05,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-02-05,2021-02-08,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-02-08,2021-02-09,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-02-09,2021-02-10,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-02-10,2021-02-11,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-02-11,2021-02-12,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-02-12,2021-02-16,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-02-16,2021-02-17,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-02-17,2021-02-18,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-02-18,2021-02-19,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-02-19,2021-02-22,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-02-22,2021-02-23,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-02-23,2021-02-24,1,constant,0.10671606118546845,0.7979561953440036
BA,2021-02-24,2021-02-25,1,constant,0.10671606118546845,0.7979561953440036
BA,2021-02-25,2021-02-26,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-02-26,2021-03-01,1,constant,0.10671606118546845,0.7979561953440036
BA,2021-03-01,2021-03-02,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-03-02,2021-03-03,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-03-03,2021-03-04,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-03-04,2021-03-05,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-03-05,2021-03-08,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-03-08,2021-03-09,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-03-09,2021-03-10,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-03-10,2021-03-11,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-03-11,2021-03-12,1,constant,0.10671606118546845,0.7979561953440036
BA,2021-03-12,2021-03-15,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-03-15,2021-03-16,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-03-16,2021-03-17,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-03-17,2021-03-18,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-03-18,2021-03-19,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-03-19,2021-03-22,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-03-22,2021-03-23,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-03-23,2021-03-24,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-03-24,2021-03-25,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-03-25,2021-03-26,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-03-26,2021-03-29,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-03-29,2021-03-30,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-03-30,2021-03-31,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-03-31,2021-04-01,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-04-01,2021-04-05,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-04-05,2021-04-06,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-04-06,2021-04-07,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-04-07,2021-04-08,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-04-08,2021-04-09,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-04-09,2021-04-12,0,constant,0.10671606118546845,0.011388317714940645
BA,2021-04-12,2021-04-13,0,constant,0.10671606118546845,0.011388317714940645
